 	t(ms)	s(cm)	    P(hPa)
   0.0000E+00  0.8174E+00  0.5776E+03
   0.1000E+01  0.7774E+00  0.5950E+03
   0.2000E+01  0.7610E+00  0.6078E+03
   0.3000E+01  0.7051E+00  0.6137E+03
   0.4000E+01  0.6874E+00  0.6201E+03
   0.5000E+01  0.6669E+00  0.6385E+03
   0.6000E+01  0.6165E+00  0.6610E+03
   0.7000E+01  0.5596E+00  0.6823E+03
   0.8000E+01  0.5246E+00  0.7033E+03
   0.9000E+01  0.4928E+00  0.6973E+03
   0.1000E+02  0.4665E+00  0.6903E+03
   0.1100E+02  0.4324E+00  0.6971E+03
   0.1200E+02  0.3983E+00  0.7206E+03
   0.1300E+02  0.3874E+00  0.7452E+03
   0.1400E+02  0.3601E+00  0.7502E+03
   0.1500E+02  0.3279E+00  0.7747E+03
   0.1600E+02  0.3282E+00  0.7862E+03
   0.1700E+02  0.2810E+00  0.7764E+03
   0.1800E+02  0.2674E+00  0.7898E+03
   0.1900E+02  0.2437E+00  0.8076E+03
   0.2000E+02  0.2274E+00  0.8176E+03
   0.2100E+02  0.2101E+00  0.8326E+03
   0.2200E+02  0.1973E+00  0.8468E+03
   0.2300E+02  0.1760E+00  0.8455E+03
   0.2400E+02  0.1646E+00  0.8578E+03
   0.2500E+02  0.1492E+00  0.8690E+03
   0.2600E+02  0.1374E+00  0.8724E+03
   0.2700E+02  0.1237E+00  0.8858E+03
   0.2800E+02  0.1092E+00  0.8725E+03
   0.2900E+02  0.8823E-01  0.8697E+03
   0.3000E+02  0.9646E-01  0.8824E+03
   0.3100E+02  0.8044E-01  0.9001E+03
   0.3200E+02  0.5373E-01  0.9251E+03
   0.3300E+02  0.4742E-01  0.9286E+03
   0.3400E+02  0.4742E-01  0.9317E+03
   0.3500E+02  0.4742E-01  0.9375E+03
   0.3600E+02  0.4742E-01  0.9437E+03
   0.3700E+02  0.4690E-01  0.9528E+03
   0.3800E+02  0.3365E-01  0.9615E+03
   0.3900E+02  0.2066E-01  0.9603E+03
   0.4000E+02  0.2280E-01  0.9583E+03
   0.4100E+02  0.1742E-01  0.9630E+03
   0.4200E+02  0.1742E-01  0.9658E+03
   0.4300E+02  0.0000E+00  0.9720E+03
   0.4400E+02  0.1742E-01  0.9679E+03
   0.4500E+02  0.1886E-01  0.9705E+03
   0.4600E+02  0.2461E-01  0.9826E+03
   0.4700E+02  0.1742E-01  0.9898E+03
   0.4800E+02  0.1742E-01  0.9941E+03
   0.4900E+02  0.1742E-01  0.9913E+03
   0.5000E+02  0.1742E-01  0.9954E+03
   0.5100E+02  0.1742E-01  0.1001E+04
   0.5200E+02  0.1742E-01  0.1005E+04
   0.5300E+02  0.2214E-01  0.1008E+04
   0.5400E+02  0.4487E-01  0.1009E+04
   0.5500E+02  0.5232E-01  0.1009E+04
   0.5600E+02  0.4742E-01  0.1007E+04
   0.5700E+02  0.5524E-01  0.1006E+04
   0.5800E+02  0.6661E-01  0.1003E+04
   0.5900E+02  0.7797E-01  0.1001E+04
   0.6000E+02  0.9125E-01  0.1001E+04
   0.6100E+02  0.1074E+00  0.1001E+04
   0.6200E+02  0.1121E+00  0.9994E+03
   0.6300E+02  0.1294E+00  0.9980E+03
   0.6400E+02  0.1374E+00  0.9968E+03
   0.6500E+02  0.1549E+00  0.9958E+03
   0.6600E+02  0.1577E+00  0.9957E+03
   0.6700E+02  0.1904E+00  0.9938E+03
   0.6800E+02  0.2074E+00  0.9922E+03
   0.6900E+02  0.2158E+00  0.9906E+03
   0.7000E+02  0.2497E+00  0.9878E+03
   0.7100E+02  0.2744E+00  0.9850E+03
   0.7200E+02  0.3106E+00  0.9822E+03
   0.7300E+02  0.3561E+00  0.9802E+03
   0.7400E+02  0.3815E+00  0.9776E+03
   0.7500E+02  0.4246E+00  0.9761E+03
   0.7600E+02  0.4587E+00  0.9755E+03
   0.7700E+02  0.4877E+00  0.9728E+03
   0.7800E+02  0.5169E+00  0.9685E+03
   0.7900E+02  0.5510E+00  0.9658E+03
   0.8000E+02  0.5943E+00  0.9624E+03
   0.8100E+02  0.5998E+00  0.9543E+03
   0.8200E+02  0.6433E+00  0.9444E+03
   0.8300E+02  0.6840E+00  0.9374E+03
   0.8400E+02  0.7315E+00  0.9333E+03
   0.8500E+02  0.7656E+00  0.9256E+03
   0.8600E+02  0.8071E+00  0.9118E+03
   0.8700E+02  0.8438E+00  0.9010E+03
   0.8800E+02  0.8480E+00  0.8942E+03
   0.8900E+02  0.8935E+00  0.8836E+03
   0.9000E+02  0.9389E+00  0.8643E+03
   0.9100E+02  0.1001E+01  0.8426E+03
   0.9200E+02  0.1070E+01  0.8203E+03
   0.9300E+02  0.1122E+01  0.7985E+03
   0.9400E+02  0.1171E+01  0.7737E+03
   0.9500E+02  0.1197E+01  0.7516E+03
   0.9600E+02  0.1234E+01  0.7331E+03
   0.9700E+02  0.1287E+01  0.7275E+03
   0.9800E+02  0.1325E+01  0.7297E+03
   0.9900E+02  0.1413E+01  0.7185E+03
   0.1000E+03  0.1477E+01  0.6923E+03
   0.1010E+03  0.1529E+01  0.6670E+03
   0.1020E+03  0.1593E+01  0.6498E+03
   0.1030E+03  0.1659E+01  0.6413E+03
   0.1040E+03  0.1699E+01  0.6369E+03
   0.1050E+03  0.1764E+01  0.6237E+03
   0.1060E+03  0.1816E+01  0.6075E+03
   0.1070E+03  0.1886E+01  0.5893E+03
   0.1080E+03  0.1940E+01  0.5703E+03
   0.1090E+03  0.1983E+01  0.5561E+03
   0.1100E+03  0.2068E+01  0.5481E+03
   0.1110E+03  0.2107E+01  0.5421E+03
   0.1120E+03  0.2175E+01  0.5314E+03
   0.1130E+03  0.2243E+01  0.5109E+03
   0.1140E+03  0.2306E+01  0.4886E+03
   0.1150E+03  0.2334E+01  0.4736E+03
   0.1160E+03  0.2388E+01  0.4636E+03
   0.1170E+03  0.2475E+01  0.4559E+03
   0.1180E+03  0.2542E+01  0.4459E+03
   0.1190E+03  0.2587E+01  0.4292E+03
   0.1200E+03  0.2644E+01  0.4140E+03
   0.1210E+03  0.2698E+01  0.4015E+03
   0.1220E+03  0.2773E+01  0.3879E+03
   0.1230E+03  0.2871E+01  0.3753E+03
   0.1240E+03  0.2906E+01  0.3624E+03
   0.1250E+03  0.2991E+01  0.3460E+03
   0.1260E+03  0.3048E+01  0.3322E+03
   0.1270E+03  0.3104E+01  0.3223E+03
   0.1280E+03  0.3166E+01  0.3104E+03
   0.1290E+03  0.3216E+01  0.2968E+03
   0.1300E+03  0.3272E+01  0.2841E+03
   0.1310E+03  0.3341E+01  0.2749E+03
   0.1320E+03  0.3379E+01  0.2641E+03
   0.1330E+03  0.3449E+01  0.2540E+03
   0.1340E+03  0.3522E+01  0.2447E+03
   0.1350E+03  0.3579E+01  0.2368E+03
   0.1360E+03  0.3647E+01  0.2317E+03
   0.1370E+03  0.3727E+01  0.2264E+03
   0.1380E+03  0.3773E+01  0.2209E+03
   0.1390E+03  0.3836E+01  0.2129E+03
   0.1400E+03  0.3883E+01  0.2015E+03
   0.1410E+03  0.3942E+01  0.1880E+03
   0.1420E+03  0.3999E+01  0.1759E+03
   0.1430E+03  0.4049E+01  0.1646E+03
   0.1440E+03  0.4091E+01  0.1571E+03
   0.1450E+03  0.4161E+01  0.1509E+03
   0.1460E+03  0.4205E+01  0.1436E+03
   0.1470E+03  0.4242E+01  0.1378E+03
   0.1480E+03  0.4302E+01  0.1304E+03
   0.1490E+03  0.4331E+01  0.1229E+03
   0.1500E+03  0.4372E+01  0.1147E+03
   0.1510E+03  0.4406E+01  0.1059E+03
   0.1520E+03  0.4440E+01  0.9878E+02
   0.1530E+03  0.4474E+01  0.9227E+02
   0.1540E+03  0.4508E+01  0.8905E+02
   0.1550E+03  0.4551E+01  0.8348E+02
   0.1560E+03  0.4576E+01  0.7863E+02
   0.1570E+03  0.4615E+01  0.7584E+02
   0.1580E+03  0.4649E+01  0.7165E+02
   0.1590E+03  0.4679E+01  0.6549E+02
   0.1600E+03  0.4713E+01  0.5967E+02
   0.1610E+03  0.4727E+01  0.5489E+02
